Latitude,Longitude,Income Level,Are gut feelings your go-to when making a big decision,Count
25.693713,-80.162825,Prefer not to say,Reliance on First Impressions,1
25.707602,-80.325608,"$10,000 - $19,999",Openness to Revised Impressions,1
25.713939,-80.583619,"Less than $10,000",Reliance on First Impressions,1
25.727513,-80.451643,"$100,000 - $119,999",Reliance on First Impressions,1
25.727513,-80.451643,"$20,000 - $29,999",Openness to Revised Impressions,1
25.733712,-80.30144,"Less than $10,000",Reliance on First Impressions,1
25.734685,-80.35923,"Less than $10,000",Openness to Revised Impressions,1
25.753132,-80.234427,Prefer not to say,Openness to Revised Impressions,1
25.759247,-80.405545,"$10,000 - $19,999",Openness to Revised Impressions,1
25.761868,-80.360479,"$100,000 - $119,999",Reliance on First Impressions,1
25.774266,-80.193659,"$10,000 - $19,999",Openness to Revised Impressions,2
25.774266,-80.193659,"$10,000 - $19,999",Reliance on First Impressions,1
25.774266,-80.193659,"$20,000 - $29,999",Reliance on First Impressions,2
25.774266,-80.193659,"Less than $10,000",Openness to Revised Impressions,2
25.774266,-80.193659,Prefer not to say,Reliance on First Impressions,1
25.776711,-80.20411,"Less than $10,000",Reliance on First Impressions,1
25.777024,-80.17365,"$10,000 - $19,999",Reliance on First Impressions,1
25.779298,-80.198739,"$10,000 - $19,999",Openness to Revised Impressions,1
25.779298,-80.198739,"Less than $10,000",Openness to Revised Impressions,1
25.780763,-80.441531,"$10,000 - $19,999",Openness to Revised Impressions,1
25.783713,-80.237278,"$10,000 - $19,999",Openness to Revised Impressions,1
25.817701,-80.131406,"$20,000 - $29,999",Openness to Revised Impressions,1
25.830882,-81.403372,"Less than $10,000",Openness to Revised Impressions,1
25.833202,-80.27872,"$10,000 - $19,999",Reliance on First Impressions,1
25.851779,-80.238173,"$20,000 - $29,999",Openness to Revised Impressions,1
25.851779,-80.238173,"$40,000 - $49,999",Openness to Revised Impressions,1
25.857596,-80.278106,"Less than $10,000",Openness to Revised Impressions,1
25.859963,-80.381857,"Less than $10,000",Reliance on First Impressions,1
25.8601,-81.380357,"$70,000 - $79,999",Openness to Revised Impressions,1
25.891761,-80.12699,"$10,000 - $19,999",Reliance on First Impressions,2
25.900437,-80.155363,"$10,000 - $19,999",Reliance on First Impressions,1
25.900437,-80.155363,"Less than $10,000",Openness to Revised Impressions,1
25.92881,-80.178672,"$10,000 - $19,999",Reliance on First Impressions,1
25.938768,-81.696751,"$10,000 - $19,999",Reliance on First Impressions,1
25.942602,-80.214684,"$10,000 - $19,999",Openness to Revised Impressions,1
25.942742,-81.383188,"$10,000 - $19,999",Reliance on First Impressions,1
25.960389,-80.143113,"Less than $10,000",Openness to Revised Impressions,1
25.9743,-80.416084,"Less than $10,000",Reliance on First Impressions,1
25.981006,-97.520941,"$50,000 - $59,999",Openness to Revised Impressions,1
25.98821,-80.281374,"$10,000 - $19,999",Openness to Revised Impressions,1
25.9892,-80.217067,"$40,000 - $49,999",Reliance on First Impressions,1
26.013368,-80.144217,"Less than $10,000",Reliance on First Impressions,1
26.02314,-97.5378,"Less than $10,000",Reliance on First Impressions,1
26.026198,-80.295994,Prefer not to say,Openness to Revised Impressions,1
26.042638,-81.718172,Prefer not to say,Openness to Revised Impressions,1
26.059583,-80.414605,"$10,000 - $19,999",Reliance on First Impressions,1
26.07174,-97.47637,Prefer not to say,Openness to Revised Impressions,1
26.10035,-98.26307,"Less than $10,000",Reliance on First Impressions,1
26.111872,-80.318335,"$30,000 - $39,999",Reliance on First Impressions,1
26.1126,-80.227875,"$40,000 - $49,999",Openness to Revised Impressions,1
26.120864,-80.25327,"$20,000 - $29,999",Reliance on First Impressions,1
26.122063,-80.138967,"$10,000 - $19,999",Openness to Revised Impressions,1
26.122063,-80.138967,"$40,000 - $49,999",Openness to Revised Impressions,1
26.129013,-80.260071,"$10,000 - $19,999",Openness to Revised Impressions,1
26.129013,-80.260071,"$20,000 - $29,999",Reliance on First Impressions,1
26.133968,-81.795309,"$10,000 - $19,999",Openness to Revised Impressions,1
26.14326,-81.389124,"Less than $10,000",Openness to Revised Impressions,1
26.144263,-80.206919,"Less than $10,000",Reliance on First Impressions,1
26.145724,-80.448254,"$10,000 - $19,999",Openness to Revised Impressions,1
26.145724,-80.448254,"$10,000 - $19,999",Reliance on First Impressions,3
26.145724,-80.448254,"$20,000 - $29,999",Openness to Revised Impressions,2
26.145724,-80.448254,"$20,000 - $29,999",Reliance on First Impressions,1
26.145724,-80.448254,"$40,000 - $49,999",Openness to Revised Impressions,1
26.145724,-80.448254,"Less than $10,000",Openness to Revised Impressions,2
26.145724,-80.448254,"Less than $10,000",Reliance on First Impressions,1
26.148662,-80.207519,"$10,000 - $19,999",Reliance on First Impressions,1
26.1498,-97.91361,"$30,000 - $39,999",Reliance on First Impressions,1
26.149955,-81.741563,"$10,000 - $19,999",Reliance on First Impressions,1
26.150204,-80.274503,Prefer not to say,Openness to Revised Impressions,1
26.15896,-97.82389,"$10,000 - $19,999",Openness to Revised Impressions,1
26.15896,-97.82389,"$30,000 - $39,999",Reliance on First Impressions,1
26.165424,-80.29589,"$10,000 - $19,999",Reliance on First Impressions,1
26.165612,-80.111766,"Less than $10,000",Openness to Revised Impressions,1
26.17937,-80.274599,"$30,000 - $39,999",Openness to Revised Impressions,1
26.184761,-80.24057,"$20,000 - $29,999",Openness to Revised Impressions,1
26.184761,-80.24057,"$60,000 - $69,999",Openness to Revised Impressions,1
26.187256,-81.711048,"$60,000 - $69,999",Openness to Revised Impressions,1
26.188511,-80.104988,Prefer not to say,Openness to Revised Impressions,1
26.188911,-97.764271,"$20,000 - $29,999",Openness to Revised Impressions,1
26.1948,-98.18362,"$30,000 - $39,999",Openness to Revised Impressions,1
26.196865,-97.750546,"Less than $10,000",Reliance on First Impressions,1
26.196865,-97.750546,Prefer not to say,Reliance on First Impressions,1
26.233459,-80.092365,"$10,000 - $19,999",Openness to Revised Impressions,1
26.241595,-81.807056,"$10,000 - $19,999",Reliance on First Impressions,1
26.242565,-98.474651,"Less than $10,000",Reliance on First Impressions,1
26.244602,-80.265311,"$20,000 - $29,999",Openness to Revised Impressions,1
26.252266,-97.565494,Prefer not to say,Reliance on First Impressions,1
26.253909,-80.134216,"Less than $10,000",Openness to Revised Impressions,1
26.289718,-98.647936,"$30,000 - $39,999",Openness to Revised Impressions,1
26.296434,-98.299977,"$20,000 - $29,999",Reliance on First Impressions,1
26.297428,-97.98837,"Less than $10,000",Openness to Revised Impressions,1
26.307831,-98.039361,"$10,000 - $19,999",Openness to Revised Impressions,2
26.345298,-97.791472,"$20,000 - $29,999",Openness to Revised Impressions,1
26.375954,-80.10717,"Less than $10,000",Reliance on First Impressions,1
26.378704,-80.104343,"$20,000 - $29,999",Openness to Revised Impressions,1
26.409709,-98.224206,"$20,000 - $29,999",Openness to Revised Impressions,1
26.411642,-80.09277,"$10,000 - $19,999",Openness to Revised Impressions,1
26.411642,-80.09277,"$10,000 - $19,999",Reliance on First Impressions,1
26.411642,-80.09277,Prefer not to say,Reliance on First Impressions,1
26.455288,-80.106351,"$30,000 - $39,999",Openness to Revised Impressions,1
26.464183,-81.504661,"Less than $10,000",Reliance on First Impressions,1
26.499887,-98.752428,"$20,000 - $29,999",Reliance on First Impressions,1
26.511382,-80.148217,"$40,000 - $49,999",Openness to Revised Impressions,1
26.515834,-81.979469,"$10,000 - $19,999",Reliance on First Impressions,1
26.522023,-82.189261,"$10,000 - $19,999",Reliance on First Impressions,1
26.525785,-80.061367,"Less than $10,000",Reliance on First Impressions,1
26.53255,-99.112986,"Less than $10,000",Reliance on First Impressions,1
26.535402,-80.112447,"Less than $10,000",Openness to Revised Impressions,1
26.552895,-81.94861,"Less than $10,000",Openness to Revised Impressions,1
26.552895,-81.94861,"Less than $10,000",Reliance on First Impressions,1
26.562706,-81.601925,"$30,000 - $39,999",Reliance on First Impressions,1
26.564718,-81.620778,"$40,000 - $49,999",Openness to Revised Impressions,1
26.5661,-98.12963,"Less than $10,000",Openness to Revised Impressions,1
26.5661,-98.12963,"Less than $10,000",Reliance on First Impressions,1
26.591277,-81.68613,"Less than $10,000",Openness to Revised Impressions,1
26.593573,-81.661922,"Less than $10,000",Reliance on First Impressions,1
26.619546,-80.091704,"$20,000 - $29,999",Reliance on First Impressions,1
26.621074,-81.878139,"$20,000 - $29,999",Openness to Revised Impressions,1
26.628272,-80.132569,"$10,000 - $19,999",Openness to Revised Impressions,1
26.639584,-81.699699,"Less than $10,000",Reliance on First Impressions,1
26.645659,-80.25144,"$20,000 - $29,999",Openness to Revised Impressions,1
26.645895,-80.430269,"$10,000 - $19,999",Openness to Revised Impressions,2
26.645895,-80.430269,"$10,000 - $19,999",Reliance on First Impressions,1
26.645895,-80.430269,"$20,000 - $29,999",Reliance on First Impressions,1
26.645895,-80.430269,"$30,000 - $39,999",Openness to Revised Impressions,1
26.645895,-80.430269,"$40,000 - $49,999",Reliance on First Impressions,1
26.645895,-80.430269,"Less than $10,000",Openness to Revised Impressions,2
26.655494,-80.159616,"$40,000 - $49,999",Openness to Revised Impressions,1
26.655494,-80.159616,"Less than $10,000",Reliance on First Impressions,1
26.656044,-80.125952,"$10,000 - $19,999",Reliance on First Impressions,1
26.656044,-80.125952,"Less than $10,000",Reliance on First Impressions,1
26.667872,-81.760927,"$50,000 - $59,999",Reliance on First Impressions,1
26.690881,-81.448873,"$30,000 - $39,999",Reliance on First Impressions,1
26.754493,-82.261149,"Less than $10,000",Openness to Revised Impressions,1
26.757668,-80.091099,"$20,000 - $29,999",Openness to Revised Impressions,1
26.763312,-81.438833,"Less than $10,000",Reliance on First Impressions,1
26.763312,-81.438833,Prefer not to say,Reliance on First Impressions,1
26.781022,-80.063738,"$10,000 - $19,999",Openness to Revised Impressions,1
26.840418,-80.052061,Prefer not to say,Openness to Revised Impressions,1
26.848356,-80.087612,"Less than $10,000",Reliance on First Impressions,1
26.884228,-82.269126,"$40,000 - $49,999",Reliance on First Impressions,1
26.911014,-97.773774,"$10,000 - $19,999",Openness to Revised Impressions,1
26.917603,-82.30394,"$20,000 - $29,999",Reliance on First Impressions,1
26.946449,-81.309114,"$20,000 - $29,999",Reliance on First Impressions,1
26.985889,-82.152363,"$10,000 - $19,999",Openness to Revised Impressions,1
26.989221,-80.108542,"$40,000 - $49,999",Openness to Revised Impressions,1
27.050934,-80.158594,"$10,000 - $19,999",Reliance on First Impressions,1
27.05384,-82.111667,"Less than $10,000",Openness to Revised Impressions,1
27.05384,-82.111667,"Less than $10,000",Reliance on First Impressions,1
27.071318,-98.686327,"$20,000 - $29,999",Reliance on First Impressions,1
27.080543,-81.998921,"$10,000 - $19,999",Reliance on First Impressions,1
27.090034,-82.370028,"Less than $10,000",Reliance on First Impressions,1
27.090034,-82.370028,Prefer not to say,Reliance on First Impressions,1
27.094062,-82.240218,Prefer not to say,Openness to Revised Impressions,1
27.099778,-82.454263,"$30,000 - $39,999",Reliance on First Impressions,1
27.108081,-80.230818,Prefer not to say,Openness to Revised Impressions,1
27.110182,-80.454196,"Less than $10,000",Reliance on First Impressions,1
27.137133,-80.346948,"$20,000 - $29,999",Openness to Revised Impressions,1
27.137133,-80.346948,"Less than $10,000",Reliance on First Impressions,1
27.17537,-80.241512,"$20,000 - $29,999",Openness to Revised Impressions,1
27.186146,-81.809939,"$10,000 - $19,999",Reliance on First Impressions,1
27.189748,-80.254768,"Less than $10,000",Reliance on First Impressions,1
27.197983,-80.251918,"Less than $10,000",Reliance on First Impressions,1
27.241077,-82.351349,Prefer not to say,Openness to Revised Impressions,1
27.257707,-80.380277,"$10,000 - $19,999",Reliance on First Impressions,1
27.337173,-82.514176,"$40,000 - $49,999",Reliance on First Impressions,1
27.363072,-82.478376,"$40,000 - $49,999",Openness to Revised Impressions,1
27.391213,-80.374042,"$60,000 - $69,999",Reliance on First Impressions,1
27.404679,-99.474294,"$20,000 - $29,999",Openness to Revised Impressions,1
27.404679,-99.474294,"Less than $10,000",Reliance on First Impressions,1
27.404731,-82.470456,"Less than $10,000",Reliance on First Impressions,1
27.405429,-82.543519,"$30,000 - $39,999",Openness to Revised Impressions,1
27.411131,-81.349938,"$20,000 - $29,999",Openness to Revised Impressions,1
27.412128,-80.534169,Prefer not to say,Openness to Revised Impressions,1
27.41254,-82.65899,Prefer not to say,Reliance on First Impressions,1
27.420316,-80.945361,Prefer not to say,Reliance on First Impressions,1
27.427213,-82.438689,"$10,000 - $19,999",Openness to Revised Impressions,1
27.427213,-82.438689,"Less than $10,000",Openness to Revised Impressions,1
27.427213,-82.438689,"Less than $10,000",Reliance on First Impressions,1
27.429451,-98.838546,"$10,000 - $19,999",Openness to Revised Impressions,1
27.429451,-98.838546,"$50,000 - $59,999",Openness to Revised Impressions,1
27.43807,-99.001969,"Less than $10,000",Reliance on First Impressions,1
27.450512,-82.37621,"$20,000 - $29,999",Openness to Revised Impressions,1
27.471256,-82.682262,"$20,000 - $29,999",Openness to Revised Impressions,1
27.47147,-98.97094,Prefer not to say,Openness to Revised Impressions,1
27.485803,-81.407884,"$20,000 - $29,999",Reliance on First Impressions,1
27.485803,-81.407884,Prefer not to say,Openness to Revised Impressions,1
27.485915,-82.710221,"$20,000 - $29,999",Reliance on First Impressions,1
27.485915,-82.710221,"$40,000 - $49,999",Openness to Revised Impressions,1
27.496428,-82.539541,Prefer not to say,Openness to Revised Impressions,1
27.515879,-99.494078,"$10,000 - $19,999",Reliance on First Impressions,1
27.515879,-99.494078,"Less than $10,000",Reliance on First Impressions,1
27.529113,-82.731722,"$10,000 - $19,999",Reliance on First Impressions,1
27.546332,-82.496732,"Less than $10,000",Openness to Revised Impressions,1
27.601936,-81.85069,"$10,000 - $19,999",Reliance on First Impressions,1
27.623349,-97.749935,"$40,000 - $49,999",Reliance on First Impressions,1
27.64753,-98.08139,"$10,000 - $19,999",Reliance on First Impressions,1
27.697229,-80.631131,"$50,000 - $59,999",Reliance on First Impressions,1
27.69913,-82.45263,Prefer not to say,Reliance on First Impressions,1
27.704046,-82.35742,"$20,000 - $29,999",Reliance on First Impressions,1
27.709049,-80.572557,"$10,000 - $19,999",Openness to Revised Impressions,1
27.709049,-80.572557,"$20,000 - $29,999",Reliance on First Impressions,1
27.709049,-80.572557,"$30,000 - $39,999",Openness to Revised Impressions,1
27.709049,-80.572557,"Less than $10,000",Openness to Revised Impressions,1
27.720111,-82.453041,"Less than $10,000",Reliance on First Impressions,1
27.72938,-81.55934,"$60,000 - $69,999",Openness to Revised Impressions,1
27.749529,-82.754223,"$10,000 - $19,999",Reliance on First Impressions,1
27.749529,-82.754223,"Less than $10,000",Reliance on First Impressions,1
27.750398,-80.449289,"Less than $10,000",Reliance on First Impressions,1
27.757005,-82.726422,"$30,000 - $39,999",Openness to Revised Impressions,1
27.766605,-97.528579,"$10,000 - $19,999",Reliance on First Impressions,1
27.770526,-82.335058,"Less than $10,000",Openness to Revised Impressions,1
27.775654,-82.64092,"Less than $10,000",Reliance on First Impressions,1
27.777,-97.463213,"$10,000 - $19,999",Reliance on First Impressions,1
27.789403,-82.677321,"$10,000 - $19,999",Openness to Revised Impressions,1
27.789403,-82.677321,Prefer not to say,Reliance on First Impressions,1
27.795517,-97.752083,"$10,000 - $19,999",Openness to Revised Impressions,1
27.797802,-97.399067,"$10,000 - $19,999",Openness to Revised Impressions,1
27.798022,-81.357154,"$40,000 - $49,999",Openness to Revised Impressions,1
27.799123,-80.483098,"$10,000 - $19,999",Reliance on First Impressions,1
27.80614,-97.79611,"$10,000 - $19,999",Openness to Revised Impressions,1
27.817335,-82.68324,"$30,000 - $39,999",Openness to Revised Impressions,1
27.82665,-82.37425,"$20,000 - $29,999",Reliance on First Impressions,1
27.82665,-82.37425,"Less than $10,000",Reliance on First Impressions,1
27.838362,-82.714996,"$10,000 - $19,999",Reliance on First Impressions,1
27.838362,-82.714996,"$20,000 - $29,999",Reliance on First Impressions,1
27.846419,-82.301249,"$30,000 - $39,999",Reliance on First Impressions,1
27.855686,-81.430915,"$60,000 - $69,999",Openness to Revised Impressions,1
27.881909,-82.664359,"Less than $10,000",Openness to Revised Impressions,1
27.891345,-82.505665,"Less than $10,000",Openness to Revised Impressions,1
27.891809,-82.724763,"$20,000 - $29,999",Reliance on First Impressions,2
27.891809,-82.724763,"Less than $10,000",Reliance on First Impressions,4
27.891809,-82.724763,Prefer not to say,Openness to Revised Impressions,1
27.891809,-82.724763,Prefer not to say,Reliance on First Impressions,1
27.89417,-82.674571,"$10,000 - $19,999",Openness to Revised Impressions,1
27.89417,-82.674571,"Less than $10,000",Reliance on First Impressions,1
27.900707,-81.58445,"$40,000 - $49,999",Reliance on First Impressions,1
27.900707,-81.58445,"Less than $10,000",Openness to Revised Impressions,1
27.903679,-82.294021,"$70,000 - $79,999",Reliance on First Impressions,1
27.909666,-97.150386,"Less than $10,000",Openness to Revised Impressions,1
27.920309,-81.597642,"$20,000 - $29,999",Reliance on First Impressions,1
27.923077,-82.843159,"$10,000 - $19,999",Openness to Revised Impressions,1
27.92485,-82.379447,"Less than $10,000",Openness to Revised Impressions,1
27.925755,-82.75211,"$40,000 - $49,999",Openness to Revised Impressions,1
27.933086,-80.638504,"$80,000 - $99,999",Openness to Revised Impressions,1
27.940934,-82.242479,Prefer not to say,Reliance on First Impressions,1
27.942648,-82.513067,"$20,000 - $29,999",Reliance on First Impressions,1
27.945857,-82.257869,"$10,000 - $19,999",Reliance on First Impressions,1
27.946998,-82.794324,"$20,000 - $29,999",Reliance on First Impressions,1
27.946998,-82.794324,Prefer not to say,Openness to Revised Impressions,1
27.94776,-82.458444,"$10,000 - $19,999",Openness to Revised Impressions,1
27.94776,-82.458444,"$20,000 - $29,999",Openness to Revised Impressions,1
27.94776,-82.458444,"$30,000 - $39,999",Openness to Revised Impressions,1
27.94776,-82.458444,"$40,000 - $49,999",Reliance on First Impressions,1
27.94776,-82.458444,"Less than $10,000",Openness to Revised Impressions,3
27.94776,-82.458444,"Less than $10,000",Reliance on First Impressions,1
27.959847,-82.828625,"$20,000 - $29,999",Openness to Revised Impressions,1
27.965132,-81.939522,"Less than $10,000",Openness to Revised Impressions,1
27.965132,-81.939522,Prefer not to say,Openness to Revised Impressions,1
27.966697,-82.556868,"$20,000 - $29,999",Openness to Revised Impressions,1
27.973917,-97.421131,"Less than $10,000",Openness to Revised Impressions,1
27.99085,-82.69316,"Less than $10,000",Reliance on First Impressions,1
27.995287,-81.259332,"Less than $10,000",Openness to Revised Impressions,1
27.996097,-82.582035,"$10,000 - $19,999",Reliance on First Impressions,1
28.002553,-81.61864,"$10,000 - $19,999",Openness to Revised Impressions,1
28.002553,-81.61864,"$20,000 - $29,999",Openness to Revised Impressions,1
28.002553,-81.61864,"$30,000 - $39,999",Reliance on First Impressions,1
28.002553,-81.61864,Prefer not to say,Openness to Revised Impressions,2
28.005103,-82.580284,"Less than $10,000",Reliance on First Impressions,1
28.010895,-82.773995,"$30,000 - $39,999",Openness to Revised Impressions,1
28.017222,-82.124953,"Less than $10,000",Reliance on First Impressions,1
28.017296,-82.746082,"$50,000 - $59,999",Reliance on First Impressions,1
28.020992,-81.985185,"Less than $10,000",Openness to Revised Impressions,1
28.029402,-81.732139,"$30,000 - $39,999",Openness to Revised Impressions,1
28.047044,-82.363024,"$10,000 - $19,999",Reliance on First Impressions,1
28.049648,-82.006855,"$20,000 - $29,999",Openness to Revised Impressions,1
28.0653,-81.78869,"Less than $10,000",Reliance on First Impressions,1
28.066478,-82.611596,"Less than $10,000",Reliance on First Impressions,1
28.070458,-97.101567,"$40,000 - $49,999",Reliance on First Impressions,1
28.077403,-82.444209,"Less than $10,000",Openness to Revised Impressions,1
28.084797,-82.725257,"$40,000 - $49,999",Openness to Revised Impressions,1
28.0914,-82.77982,"$20,000 - $29,999",Reliance on First Impressions,1
28.093664,-81.437229,"$20,000 - $29,999",Reliance on First Impressions,1
28.09446,-97.82805,"$40,000 - $49,999",Reliance on First Impressions,1
28.145549,-80.649969,"$10,000 - $19,999",Reliance on First Impressions,1
28.147125,-82.678972,"$20,000 - $29,999",Reliance on First Impressions,1
28.176194,-81.959132,"$10,000 - $19,999",Openness to Revised Impressions,1
28.18251,-81.82397,"Less than $10,000",Openness to Revised Impressions,1
28.188,-82.7346,"Less than $10,000",Reliance on First Impressions,1
28.191434,-82.724448,"$10,000 - $19,999",Openness to Revised Impressions,1
28.193901,-82.591764,"$20,000 - $29,999",Reliance on First Impressions,1
28.206879,-97.334538,"Less than $10,000",Reliance on First Impressions,1
28.21206,-97.712708,"$20,000 - $29,999",Reliance on First Impressions,1
28.216016,-82.67162,"$40,000 - $49,999",Reliance on First Impressions,1
28.216016,-82.67162,"Less than $10,000",Reliance on First Impressions,1
28.236744,-82.176294,"Less than $10,000",Openness to Revised Impressions,1
28.239369,-82.736882,"Less than $10,000",Reliance on First Impressions,1
28.242508,-82.695536,"Less than $10,000",Reliance on First Impressions,1
28.243011,-81.400997,"$10,000 - $19,999",Reliance on First Impressions,1
28.243011,-81.400997,Prefer not to say,Reliance on First Impressions,1
28.246439,-81.231589,"$20,000 - $29,999",Reliance on First Impressions,1
28.256905,-81.58285,"Less than $10,000",Reliance on First Impressions,1
28.26251,-81.50785,"$10,000 - $19,999",Openness to Revised Impressions,1
28.28714,-80.723065,"$10,000 - $19,999",Openness to Revised Impressions,1
28.293173,-99.214344,"$10,000 - $19,999",Reliance on First Impressions,1
28.296388,-82.617095,"Less than $10,000",Reliance on First Impressions,1
28.306726,-80.686159,"Less than $10,000",Openness to Revised Impressions,1
28.310134,-82.247783,"Less than $10,000",Reliance on First Impressions,1
28.324796,-82.481766,"$40,000 - $49,999",Reliance on First Impressions,1
28.325685,-80.623424,"$30,000 - $39,999",Reliance on First Impressions,1
28.325685,-80.623424,"Less than $10,000",Reliance on First Impressions,1
28.34985,-99.61606,"$10,000 - $19,999",Reliance on First Impressions,1
28.360086,-82.62074,"Less than $10,000",Reliance on First Impressions,1
28.383063,-81.573614,"$10,000 - $19,999",Openness to Revised Impressions,1
28.385285,-81.472748,"Less than $10,000",Openness to Revised Impressions,1
28.39028,-96.84221,"$20,000 - $29,999",Openness to Revised Impressions,1
28.416397,-82.212104,"$10,000 - $19,999",Openness to Revised Impressions,1
28.43522,-81.349743,"Less than $10,000",Openness to Revised Impressions,1
28.443245,-96.422834,"$10,000 - $19,999",Openness to Revised Impressions,1
28.463682,-81.394771,Prefer not to say,Reliance on First Impressions,1
28.467101,-81.241651,Prefer not to say,Reliance on First Impressions,1
28.483996,-81.322855,Prefer not to say,Reliance on First Impressions,1
28.489931,-81.406142,"$10,000 - $19,999",Reliance on First Impressions,1
28.504888,-82.625672,"$20,000 - $29,999",Openness to Revised Impressions,2
28.504888,-82.625672,"Less than $10,000",Openness to Revised Impressions,1
28.509319,-82.295675,"Less than $10,000",Openness to Revised Impressions,1
